item_no,price,rating,title
852548,275.00,4.8,YETI Tundra 35 Cooler
170998,130.00,4.1,GCI Outdoor Freeform Zero Gravity Lounger
852554,375.00,4.8,YETI Tundra 65 Cooler
229251,150.00,4.7,YETI Rambler Insulated Beverage Bucket
838500,4.00,4.9,Zippo Premium Butane Fuel - 2.5 fl. oz.
185031,79.73,2.6,ALPS Mountaineering Fusion 40 Sleeping Bag
114828,59.95,3.9,MSR Dromedary Bag - 10 Liters
207675,195.00,5.0,Ray-Ban RB4181 Polarized Sunglasses
229003,17.73,5.0,Outdoor Research PackOut Graphic Dry Bag - 10 L
890802,189.95,4.5,MSR WindBurner Stove System
116759,16.95,4.8,SaltStick Fastchews Chewable Electrolyte Tablets - 60 Tablets
213013,163.73,1.0,Komperdell Cross Stick Trekking Poles - Pair
214300,59.95,3.7,BioLite HeadLamp 425
233386,59.95,0.0,Soto Regulator Stove
218561,130.00,4.0,Osprey Skarab 22 Hydration Pack - Men's
145316,450.00,4.6,YETI Tundra Haul Wheeled Cooler
201968,89.93,4.5,REI Co-op Flash 15 Hydration Vest
139587,32.95,4.3,Hydro Flask Coffee with Flex Sip Lid - 16 fl. oz.
234511,13.73,0.0,Ledlenser Kidcamp6 Electric Lantern
150116,99.95,4.8,Grayl GeoPress Water Filter and Purifier Bottle - 24 fl. oz.
784303,24.95,4.7,MSR Fuel Bottle - 20 fl. oz.
874210,325.00,4.8,YETI Tundra 45 Cooler
218566,130.00,5.0,Osprey Skimmer 20 Hydration Pack - Women's
207779,8.95,4.3,Backpacker's Pantry Blueberry Peach Crisp - 2 Servings
234841,169.73,0.0,Smith Longfin ChromaPop Polarized Glass Sunglasses
884005,10.95,4.4,Jetboil Pot Support
218575,65.00,4.3,Osprey AirPorter LZ Pack Duffel - Medium
183045,38.00,4.4,YETI Rambler Travel Mug - 20 fl. oz.
604787,2.25,4.7,Clif Energy Bar
205583,90.73,0.0,Mountain Equipment Lunar I Sleeping Bag - Women's Long
217489,89.95,4.4,REI Co-op Flexlite Print Camp Boss Chair
890183,130.00,4.5,YETI Rambler Gallon Jug - 128 fl. oz.
217722,119.95,5.0,Leki Legend Black Carbon Walking Pole - Single
196359,34.73,2.7,Ledlenser MH5 Headlamp
108105,2.50,4.8,Clif Nut Butter Filled Bars
193834,179.95,4.5,Gregory Juno 30 H2O Pack - Women's Plus Sizes
175894,10.95,4.5,Mountain House Lasagna with Meat Sauce - 2 Servings
162655,9.00,4.7,Rumpl Solid Beer Blanket
234177,174.73,0.0,Granite Gear Perimeter 50 Pack - Women's
189402,230.93,2.8,Eureka NoBugZone 3-in-1 Shelter
140226,10.00,3.6,Alpine Start Instant Coconut Creamer Latte - Package of 5
214932,104.73,4.3,Outdoor Research Warnick Sensor Gloves
203241,359.95,4.9,Gregory Deva 70 Pack - Women's
204421,37.95,2.8,Matador FlatPak Toiletry Bottles - Package of 3
152921,33.83,2.0,O'NEILL Sunglasses Shore Polarized Sunglasses
891193,389.95,4.0,MSR Guardian Purifier
